Element,Start Time,End Time
He,2022-11-18 08:59:59.935198,2022-11-25 10:59:59.850240
He,2022-11-27 13:00:00.084963,2022-11-29 07:59:59.902078
He,2022-12-02 00:00:00.025923,2022-12-05 04:59:59.889121
He,2022-12-11 03:00:00.025918,2022-12-14 22:59:59.928001
He,2022-12-15 17:00:00.100801,2022-12-17 13:00:00.067678
He,2022-12-18 12:00:00.043197,2022-12-21 08:00:00.135362
He,2022-12-21 22:00:00.024478,2022-12-27 00:00:00.004322
He,2022-12-28 00:00:00.129596,2022-12-29 22:59:59.915039
He,2023-01-06 01:59:59.979837,2023-01-11 22:00:00.132481
He,2023-01-12 10:59:59.871842,2023-01-14 02:00:00.036000
He,2023-01-15 14:00:00.066236,2023-01-18 16:59:59.945281
He,2023-01-19 19:00:00.054722,2023-01-21 09:00:00.069119
He,2023-01-22 15:59:59.981279,2023-01-25 23:00:00.144001
He,2023-01-27 08:00:00.040322,2023-01-29 00:00:00.038878
He,2023-01-31 03:59:59.942397,2023-02-03 15:59:59.907838
He,2023-02-04 00:59:59.994242,2023-02-05 16:59:59.992798
He,2023-02-07 03:00:00.038881,2023-02-17 06:59:59.998556
He,2023-02-17 14:59:59.935198,2023-02-23 03:00:00.151201
He,2023-02-23 19:00:00.024476,2023-02-27 12:00:00.108000
He,2023-02-27 20:00:00.044642,2023-03-01 04:59:59.940962
He,2023-03-03 13:00:00.128159,2023-03-05 11:00:00.079196
He,2023-03-06 02:00:00.118081,2023-03-07 22:00:00.084958
He,2023-03-10 03:59:59.972637,2023-03-11 16:00:00.002880
He,2023-03-13 04:59:59.867522,2023-03-15 11:00:00.070558
He,2023-03-17 07:00:00.037442,2023-03-23 11:59:59.961119
He,2023-03-23 19:00:00.063362,2023-03-31 06:00:00.064801
He,2023-03-31 14:00:00.001443,2023-04-03 12:00:00.077762
He,2023-04-10 04:59:59.906401,2023-04-15 02:59:59.917917
He,2023-04-21 12:00:00.125279,2023-04-23 23:59:59.965439
He,2023-04-24 09:00:00.051843,2023-04-25 21:59:59.916477
He,2023-04-29 16:00:00.149763,2023-05-02 19:00:00.028801
He,2023-05-03 00:59:59.981282,2023-05-04 01:00:00.106563
He,2023-05-04 22:00:00.097921,2023-05-11 16:59:59.910721
He,2023-05-15 19:00:00.080641,2023-05-20 00:00:00.069120
He,2023-05-27 07:59:59.936637,2023-06-03 07:00:00.033121
He,2023-06-12 06:00:00.064803,2023-06-13 12:00:00.142558
He,2023-06-13 12:59:59.976956,2023-06-14 23:59:59.857437
